tokenizer_name,token_id,token_value,raw_token,token_length,decoded_length,category,languages
olmocode,6656,                                 ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,33,33,whitespace,none
olmocode,8136,                                                       ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,55,55,whitespace,none
olmocode,8152,================================================================,================================================================,64,64,symbols,none
olmocode,8333,                                     ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,37,37,whitespace,none
olmocode,8466, ----------------------------------------------------------------,Ġ----------------------------------------------------------------,65,65,symbols,none
olmocode,9229,------------------------------------------------,------------------------------------------------,48,48,symbols,none
olmocode,9699,                                  ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,34,34,whitespace,none
olmocode,9822,////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////,64,64,symbols,none
olmocode,9888,//----------------------------------------------------------------,//----------------------------------------------------------------,66,66,symbols,none
olmocode,10503,                                         ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,41,41,whitespace,none
olmocode,10534, ************************************************************************,Ġ************************************************************************,73,73,symbols,none
olmocode,10589,                                    ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,36,36,whitespace,none
olmocode,11070,                                      ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,38,38,whitespace,none
olmocode,11370,/************************************************************************,/************************************************************************,73,73,symbols,none
olmocode,11950,                                                           ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,59,59,whitespace,none
olmocode,12841,                                        ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,40,40,whitespace,none
olmocode,13067,##############################################################,################################################################,64,62,symbols,none
olmocode,13463,                                             ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,45,45,whitespace,none
olmocode,14265,                                          ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,42,42,whitespace,none
olmocode,14642,                                                                           ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,75,75,whitespace,none
olmocode,15270,                                                               ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,63,63,whitespace,none
olmocode,15429,                                            ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,44,44,whitespace,none
olmocode,16168, =================================================================,Ġ=================================================================,66,66,symbols,none
olmocode,16562,................................,................................,32,32,symbols,none
olmocode,17264,                                              ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,46,46,whitespace,none
olmocode,17466,________________________________,________________________________,32,32,other,none
olmocode,17535, **************************************************************************,Ġ**************************************************************************,75,75,symbols,none
olmocode,17648,                                                 ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,49,49,whitespace,none
olmocode,18012,//----------------------------------------------------------------------------,//----------------------------------------------------------------------------,78,78,symbols,none
olmocode,18036, ------------------------------------------------,Ġ------------------------------------------------,49,49,symbols,none
olmocode,18749,                                                ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,48,48,whitespace,none
olmocode,18782,================================================,================================================,48,48,symbols,none
olmocode,19273,                                                                   ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,67,67,whitespace,none
olmocode,19728, --------------------------------,Ġ--------------------------------,33,33,symbols,none
olmocode,20159,/****************************************************************,/****************************************************************,65,65,symbols,none
olmocode,20974,                                                     ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,53,53,whitespace,none
olmocode,21509,                                                  ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,50,50,whitespace,none
olmocode,22292, ****************************************************************,Ġ****************************************************************,65,65,symbols,none
olmocode,22335,                                                                       ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,71,71,whitespace,none
olmocode,22349,----------------------------------------------------------------------------,----------------------------------------------------------------------------,76,76,symbols,none
olmocode,22565,/****************************************************************************,/****************************************************************************,77,77,symbols,none
olmocode,22958, ********************************,Ġ********************************,33,33,symbols,none
olmocode,23161,//================================================================,//================================================================,66,66,symbols,none
olmocode,23852, ----------------------------------------------------------------------------,Ġ----------------------------------------------------------------------------,77,77,symbols,none
olmocode,24348,                                                    ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,52,52,whitespace,none
olmocode,25275,/********************************,/********************************,33,33,symbols,none
olmocode,25773,                                                      ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,54,54,whitespace,none
olmocode,25885,"--------------------------------------------------------------------------
",--------------------------------------------------------------------------Ċ,75,75,symbols,none
olmocode,26065,                                                         ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,57,57,whitespace,none
olmocode,27183,////////////////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////////////////,76,76,symbols,none
olmocode,27405,////////////////////////////////////////////////,////////////////////////////////////////////////,48,48,symbols,none
olmocode,28226,////////////////////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////////////////////,80,80,symbols,none
olmocode,28585, =================================================,Ġ=================================================,50,50,symbols,none
olmocode,28644, ****************************************************************************,Ġ****************************************************************************,77,77,symbols,none
olmocode,28802,                                                        ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,56,56,whitespace,none
olmocode,29854,##############################################,################################################,48,46,symbols,none
olmocode,29865,/*----------------------------------------------------------------,/*----------------------------------------------------------------,66,66,symbols,none
olmocode,30889,//------------------------------------------------,//------------------------------------------------,50,50,symbols,none
olmocode,31979,                                                             ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,61,61,whitespace,none
olmocode,32041,##########################################################################,############################################################################,76,74,symbols,none
olmocode,32678,                                                          ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,58,58,whitespace,none
olmocode,33009,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,32,32,symbols,none
olmocode,33518,****************************************************************************,****************************************************************************,76,76,symbols,none
olmocode,33641,                                Ċ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,33,33,other,none
olmocode,35109,////////////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////////////,72,72,symbols,none
olmocode,35619, //----------------------------------------------------------------,Ġ//----------------------------------------------------------------,67,67,symbols,none
olmocode,35774, =================================,Ġ=================================,34,34,symbols,none
olmocode,36713,"/*******************************************************************************
",/*******************************************************************************Ċ,81,81,symbols,none
olmocode,37083,                                                              ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,62,62,whitespace,none
olmocode,37144,                                                                        ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,72,72,whitespace,none
olmocode,38171,                                                                 ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,65,65,whitespace,none
olmocode,38368, =========================================================================,Ġ=========================================================================,74,74,symbols,none
olmocode,38484,                                                            ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,60,60,whitespace,none
olmocode,39373, --------------------------------------------------------------------------------,Ġ--------------------------------------------------------------------------------,81,81,symbols,none
olmocode,39484,                                                                               ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,79,79,whitespace,none
olmocode,40072,****************************************,****************************************,40,40,symbols,none
olmocode,40486,##############################################################################,################################################################################,80,78,symbols,none
olmocode,41056,                                                                          ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,74,74,whitespace,none
olmocode,42080,"|--------------------------------------------------------------------------
",|--------------------------------------------------------------------------Ċ,76,76,symbols,none
olmocode,42269,................................................................,................................................................,64,64,symbols,none
olmocode,42708,                                                                     ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,69,69,whitespace,none
olmocode,43200,////////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////////,68,68,symbols,none
olmocode,43449,--------------------------------------------------------------------------------,--------------------------------------------------------------------------------,80,80,symbols,none
olmocode,44142,"//-----------------------------------------------------------------------------
",//-----------------------------------------------------------------------------Ċ,80,80,symbols,none
olmocode,44438,/*================================================================,/*================================================================,66,66,symbols,none
olmocode,45807,                                    Ċ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,37,37,other,none
olmocode,45814,"//------------------------------------------------------------------------------
",//------------------------------------------------------------------------------Ċ,81,81,symbols,none
olmocode,46145,                                                                         ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,73,73,whitespace,none
olmocode,46576,************************************************,************************************************,48,48,symbols,none
olmocode,46771,                                                                      ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,70,70,whitespace,none
olmocode,46932,________________________________________________________________,________________________________________________________________,64,64,other,none
olmocode,47549,                                                                  ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,66,66,whitespace,none
olmocode,48256,//--------------------------------,//--------------------------------,34,34,symbols,none
olmocode,48497, ################################################################,Ġ################################################################,65,65,symbols,none
olmocode,50561,//--------------------------------------------------------------------------------,//--------------------------------------------------------------------------------,82,82,symbols,none
olmocode,51068,                                                                    ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,68,68,whitespace,none
olmocode,51475,                                                                                   ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,83,83,whitespace,none
olmocode,51814, -----------------------------------------------------------------------------Ċ,Ġ-----------------------------------------------------------------------------Ċ,79,79,symbols,none
olmocode,53147,********************************************************,********************************************************,56,56,symbols,none
olmocode,53196,"/******************************************************************************
",/******************************************************************************Ċ,80,80,symbols,none
olmocode,53264,----------------------------------------------------------------------,----------------------------------------------------------------------,70,70,symbols,none
olmocode,54301, ################################,Ġ################################,33,33,symbols,none
olmocode,55263,//****************************************************************,//****************************************************************,66,66,symbols,none
olmocode,55799,                                                                            ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,76,76,whitespace,none
olmocode,56342,//------------------------------------------------------------------------------------------------,//------------------------------------------------------------------------------------------------,98,98,symbols,none
olmocode,56596,                                        Ċ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,41,41,other,none
olmocode,56940,                                                                                                                                ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,128,128,whitespace,none
olmocode,57307,"//---------------------------------------------------------------------------
",//---------------------------------------------------------------------------Ċ,78,78,symbols,none
olmocode,57906,/*----------------------------------------------------------------------------,/*----------------------------------------------------------------------------,78,78,symbols,none
olmocode,58007,"/****************************************************************************
",/****************************************************************************Ċ,78,78,symbols,none
olmocode,58591,                                                                             ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,77,77,whitespace,none
olmocode,58869,"////////////////////////////////////////////////////////////////////////////////
",////////////////////////////////////////////////////////////////////////////////Ċ,81,81,symbols,none
olmocode,59649,                Ċ                Ċ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,34,34,other,none
olmocode,59809, ------------------------------------------------------------------------------------------------,Ġ------------------------------------------------------------------------------------------------,97,97,symbols,none
olmocode,60107,latesAutoresizingMaskIntoConstraints,latesAutoresizingMaskIntoConstraints,36,36,english,none
olmocode,60211,————————————————,âĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶ,48,16,other,none
olmocode,60609, //////////////////////////////////,Ġ//////////////////////////////////,35,35,symbols,none
olmocode,60629,////////////////////////////////////////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////////////////////////////////////////,96,96,symbols,none
olmocode,60908,////////////////////////////////////////////////////////,////////////////////////////////////////////////////////,56,56,symbols,none
olmocode,60915,#----------------------------------------------------------------------------,#----------------------------------------------------------------------------,77,77,symbols,none
olmocode,61250, |--------------------------------------------------------------------------Ċ,Ġ|--------------------------------------------------------------------------Ċ,77,77,symbols,none
olmocode,61360, ****************************************,Ġ****************************************,41,41,symbols,none
olmocode,61693,********************************************************************************,********************************************************************************,80,80,symbols,none
olmocode,62117,"----------------------------------------------------------------------
",----------------------------------------------------------------------Ċ,71,71,symbols,none
olmocode,62470,.translatesAutoresizingMaskIntoConstraints,.translatesAutoresizingMaskIntoConstraints,42,42,code,none
olmocode,63394,================================================================================,================================================================================,80,80,symbols,none
olmocode,63538, ----------------------------------------------------------------------------Ċ,Ġ----------------------------------------------------------------------------Ċ,78,78,symbols,none
olmocode,64226,//****************************************************************************,//****************************************************************************,78,78,symbols,none
olmocode,64575,////////////////////////////////////////////////////////////,////////////////////////////////////////////////////////////,60,60,symbols,none
olmocode,65080,//************************************************************************,//************************************************************************,74,74,symbols,none
olmocode,65195, ********************************************************,Ġ********************************************************,57,57,symbols,none
olmocode,65271,                                                                                       ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,87,87,whitespace,none
olmocode,65648,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,32,32,symbols,none
olmocode,65900, =================================================================================,Ġ=================================================================================,82,82,symbols,none
olmocode,66004, //------------------------------------------------,Ġ//------------------------------------------------,51,51,symbols,none
olmocode,66159,/********************************************************,/********************************************************,57,57,symbols,none
olmocode,66207, ----------------------------------------------------------------------------------------------------------------,Ġ----------------------------------------------------------------------------------------------------------------,113,113,symbols,none
olmocode,67161, ################################################,Ġ################################################,49,49,symbols,none
olmocode,67549, /*----------------------------------------------------------------,Ġ/*----------------------------------------------------------------,67,67,symbols,none
olmocode,68132,"/*****************************************************************************
",/*****************************************************************************Ċ,79,79,symbols,none
olmocode,69061,######################################################################,########################################################################,72,70,symbols,none
olmocode,70662, ==============================================================,Ġ==============================================================,63,63,symbols,none
olmocode,70988,"/***************************************************************************
",/***************************************************************************Ċ,77,77,symbols,none
olmocode,71508, //////////////////////////////////////////////////////////////////////////,Ġ//////////////////////////////////////////////////////////////////////////,75,75,symbols,none
olmocode,71836, ************************************************,Ġ************************************************,49,49,symbols,none
olmocode,72004,#================================================================,#================================================================,65,65,symbols,none
olmocode,72203,.DataGridViewColumnHeadersHeightSizeMode,.DataGridViewColumnHeadersHeightSizeMode,40,40,code,none
olmocode,72805, dequeueReusableCellWithIdentifier,ĠdequeueReusableCellWithIdentifier,34,34,english,none
olmocode,72961,/****************************************,/****************************************,41,41,symbols,none
olmocode,73062,/*------------------------------------------------,/*------------------------------------------------,50,50,symbols,none
olmocode,73538, //--------------------------------,Ġ//--------------------------------,35,35,symbols,none
olmocode,75510,#----------------------------------------------------------------,#----------------------------------------------------------------,65,65,symbols,none
olmocode,75632,/********************************************************************************,/********************************************************************************,81,81,symbols,none
olmocode,76507,//================================================,//================================================,50,50,symbols,none
olmocode,76550, ********************************************************************************,Ġ********************************************************************************,81,81,symbols,none
olmocode,76737,"///////////////////////////////////////////////////////////////////////////////
",///////////////////////////////////////////////////////////////////////////////Ċ,80,80,symbols,none
olmocode,77149, *----------------------------------------------------------------,Ġ*----------------------------------------------------------------,66,66,symbols,none
olmocode,77993,                                            Ċ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,45,45,other,none
olmocode,78346,"(""--------------------------------","(""--------------------------------",34,34,symbols,none
olmocode,78371,/************************************************,/************************************************,49,49,symbols,none
olmocode,78757, ---------------------------------------------------------------------------Ċ,Ġ---------------------------------------------------------------------------Ċ,77,77,symbols,none
olmocode,78938,"//----------------------------------------------------------------------------
",//----------------------------------------------------------------------------Ċ,79,79,symbols,none
olmocode,79083,"































",ĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊĊ,32,32,whitespace,none
olmocode,79371, ******************************************************************************/Ċ,Ġ******************************************************************************/Ċ,81,81,symbols,none
olmocode,79403,"*******************************************************************************/
",*******************************************************************************/Ċ,81,81,symbols,none
olmocode,79448,"#############################################################################
",###############################################################################Ċ,80,78,symbols,none
olmocode,79518,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,64,64,symbols,none
olmocode,79871,                                                                                           ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,91,91,whitespace,none
olmocode,80550, -------------------------------------------------------------------------Ċ,Ġ-------------------------------------------------------------------------Ċ,75,75,symbols,none
olmocode,81008, __________________________________,Ġ__________________________________,35,35,other,none
olmocode,81042,"//--------------------------------------------------------------
",//--------------------------------------------------------------Ċ,65,65,symbols,none
olmocode,81221,                                                                              ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,78,78,whitespace,none
olmocode,81372, ................................,Ġ................................,33,33,symbols,none
olmocode,82049, =============================================================================Ċ,Ġ=============================================================================Ċ,79,79,symbols,none
olmocode,82578,######################################,########################################,40,38,symbols,none
olmocode,82845,////////////////////////////////////////////////////,////////////////////////////////////////////////////,52,52,symbols,none
