vocab_id,token,token_repr,origin_tokenizer,token_type,merge_parts,rrf_score
119,<|reserved_119|>,'<|reserved_119|>',unknown,base,,0
120,<|reserved_120|>,'<|reserved_120|>',unknown,base,,0
121,<|reserved_121|>,'<|reserved_121|>',unknown,base,,0
122,<|reserved_122|>,'<|reserved_122|>',unknown,base,,0
123,<|reserved_123|>,'<|reserved_123|>',unknown,base,,0
124,<|reserved_124|>,'<|reserved_124|>',unknown,base,,0
125,<|reserved_125|>,'<|reserved_125|>',unknown,base,,0
126,<|reserved_126|>,'<|reserved_126|>',unknown,base,,0
127,<|reserved_127|>,'<|reserved_127|>',unknown,base,,0
128,<|reserved_128|>,'<|reserved_128|>',unknown,base,,0
129,<|reserved_129|>,'<|reserved_129|>',unknown,base,,0
130,<|reserved_130|>,'<|reserved_130|>',unknown,base,,0
131,<|reserved_131|>,'<|reserved_131|>',unknown,base,,0
132,<|reserved_132|>,'<|reserved_132|>',unknown,base,,0
133,<|reserved_133|>,'<|reserved_133|>',unknown,base,,0
134,<|reserved_134|>,'<|reserved_134|>',unknown,base,,0
135,<|reserved_135|>,'<|reserved_135|>',unknown,base,,0
136,<|reserved_136|>,'<|reserved_136|>',unknown,base,,0
137,<|reserved_137|>,'<|reserved_137|>',unknown,base,,0
138,<|reserved_138|>,'<|reserved_138|>',unknown,base,,0
139,<|reserved_139|>,'<|reserved_139|>',unknown,base,,0
140,<|reserved_140|>,'<|reserved_140|>',unknown,base,,0
141,<|reserved_141|>,'<|reserved_141|>',unknown,base,,0
142,<|reserved_142|>,'<|reserved_142|>',unknown,base,,0
143,<|reserved_143|>,'<|reserved_143|>',unknown,base,,0
144,<|reserved_144|>,'<|reserved_144|>',unknown,base,,0
145,<|reserved_145|>,'<|reserved_145|>',unknown,base,,0
146,<|reserved_146|>,'<|reserved_146|>',unknown,base,,0
147,<|reserved_147|>,'<|reserved_147|>',unknown,base,,0
148,<|reserved_148|>,'<|reserved_148|>',unknown,base,,0
149,<|reserved_149|>,'<|reserved_149|>',unknown,base,,0
150,<|reserved_150|>,'<|reserved_150|>',unknown,base,,0
151,<|reserved_151|>,'<|reserved_151|>',unknown,base,,0
152,<|reserved_152|>,'<|reserved_152|>',unknown,base,,0
153,<|reserved_153|>,'<|reserved_153|>',unknown,base,,0
154,<|reserved_154|>,'<|reserved_154|>',unknown,base,,0
155,<|reserved_155|>,'<|reserved_155|>',unknown,base,,0
156,<|reserved_156|>,'<|reserved_156|>',unknown,base,,0
157,<|reserved_157|>,'<|reserved_157|>',unknown,base,,0
158,<|reserved_158|>,'<|reserved_158|>',unknown,base,,0
159,<|reserved_159|>,'<|reserved_159|>',unknown,base,,0
160,<|reserved_160|>,'<|reserved_160|>',unknown,base,,0
161,<|reserved_161|>,'<|reserved_161|>',unknown,base,,0
162,<|reserved_162|>,'<|reserved_162|>',unknown,base,,0
163,<|reserved_163|>,'<|reserved_163|>',unknown,base,,0
164,<|reserved_164|>,'<|reserved_164|>',unknown,base,,0
165,<|reserved_165|>,'<|reserved_165|>',unknown,base,,0
166,<|reserved_166|>,'<|reserved_166|>',unknown,base,,0
167,<|reserved_167|>,'<|reserved_167|>',unknown,base,,0
168,<|reserved_168|>,'<|reserved_168|>',unknown,base,,0
169,<|reserved_169|>,'<|reserved_169|>',unknown,base,,0
170,<|reserved_170|>,'<|reserved_170|>',unknown,base,,0
171,<|reserved_171|>,'<|reserved_171|>',unknown,base,,0
172,<|reserved_172|>,'<|reserved_172|>',unknown,base,,0
173,<|reserved_173|>,'<|reserved_173|>',unknown,base,,0
174,<|reserved_174|>,'<|reserved_174|>',unknown,base,,0
175,<|reserved_175|>,'<|reserved_175|>',unknown,base,,0
176,<|reserved_176|>,'<|reserved_176|>',unknown,base,,0
177,<|reserved_177|>,'<|reserved_177|>',unknown,base,,0
178,<|reserved_178|>,'<|reserved_178|>',unknown,base,,0
179,<|reserved_179|>,'<|reserved_179|>',unknown,base,,0
180,<|reserved_180|>,'<|reserved_180|>',unknown,base,,0
181,<|reserved_181|>,'<|reserved_181|>',unknown,base,,0
182,<|reserved_182|>,'<|reserved_182|>',unknown,base,,0
183,<|reserved_183|>,'<|reserved_183|>',unknown,base,,0
184,<|reserved_184|>,'<|reserved_184|>',unknown,base,,0
185,<|reserved_185|>,'<|reserved_185|>',unknown,base,,0
186,<|reserved_186|>,'<|reserved_186|>',unknown,base,,0
187,<|reserved_187|>,'<|reserved_187|>',unknown,base,,0
188,<|reserved_188|>,'<|reserved_188|>',unknown,base,,0
189,<|reserved_189|>,'<|reserved_189|>',unknown,base,,0
190,<|reserved_190|>,'<|reserved_190|>',unknown,base,,0
191,<|reserved_191|>,'<|reserved_191|>',unknown,base,,0
192,<|reserved_192|>,'<|reserved_192|>',unknown,base,,0
193,<|reserved_193|>,'<|reserved_193|>',unknown,base,,0
194,<|reserved_194|>,'<|reserved_194|>',unknown,base,,0
195,<|reserved_195|>,'<|reserved_195|>',unknown,base,,0
196,<|reserved_196|>,'<|reserved_196|>',unknown,base,,0
197,<|reserved_197|>,'<|reserved_197|>',unknown,base,,0
198,<|reserved_198|>,'<|reserved_198|>',unknown,base,,0
199,<|reserved_199|>,'<|reserved_199|>',unknown,base,,0
200,<|reserved_200|>,'<|reserved_200|>',unknown,base,,0
201,<|reserved_201|>,'<|reserved_201|>',unknown,base,,0
202,<|reserved_202|>,'<|reserved_202|>',unknown,base,,0
203,<|reserved_203|>,'<|reserved_203|>',unknown,base,,0
204,<|reserved_204|>,'<|reserved_204|>',unknown,base,,0
205,<|reserved_205|>,'<|reserved_205|>',unknown,base,,0
206,<|reserved_206|>,'<|reserved_206|>',unknown,base,,0
207,<|reserved_207|>,'<|reserved_207|>',unknown,base,,0
208,<|reserved_208|>,'<|reserved_208|>',unknown,base,,0
209,<|reserved_209|>,'<|reserved_209|>',unknown,base,,0
210,<|reserved_210|>,'<|reserved_210|>',unknown,base,,0
211,<|reserved_211|>,'<|reserved_211|>',unknown,base,,0
212,<|reserved_212|>,'<|reserved_212|>',unknown,base,,0
213,<|reserved_213|>,'<|reserved_213|>',unknown,base,,0
214,<|reserved_214|>,'<|reserved_214|>',unknown,base,,0
215,<|reserved_215|>,'<|reserved_215|>',unknown,base,,0
216,<|reserved_216|>,'<|reserved_216|>',unknown,base,,0
217,<|reserved_217|>,'<|reserved_217|>',unknown,base,,0
218,<|reserved_218|>,'<|reserved_218|>',unknown,base,,0
219,<|reserved_219|>,'<|reserved_219|>',unknown,base,,0
220,<|reserved_220|>,'<|reserved_220|>',unknown,base,,0
221,<|reserved_221|>,'<|reserved_221|>',unknown,base,,0
222,<|reserved_222|>,'<|reserved_222|>',unknown,base,,0
223,<|reserved_223|>,'<|reserved_223|>',unknown,base,,0
224,<|reserved_224|>,'<|reserved_224|>',unknown,base,,0
225,<|reserved_225|>,'<|reserved_225|>',unknown,base,,0
226,<|reserved_226|>,'<|reserved_226|>',unknown,base,,0
227,<|reserved_227|>,'<|reserved_227|>',unknown,base,,0
228,<|reserved_228|>,'<|reserved_228|>',unknown,base,,0
229,<|reserved_229|>,'<|reserved_229|>',unknown,base,,0
230,<|reserved_230|>,'<|reserved_230|>',unknown,base,,0
231,<|reserved_231|>,'<|reserved_231|>',unknown,base,,0
232,<|reserved_232|>,'<|reserved_232|>',unknown,base,,0
233,<|reserved_233|>,'<|reserved_233|>',unknown,base,,0
234,<|reserved_234|>,'<|reserved_234|>',unknown,base,,0
235,<|reserved_235|>,'<|reserved_235|>',unknown,base,,0
236,<|reserved_236|>,'<|reserved_236|>',unknown,base,,0
237,<|reserved_237|>,'<|reserved_237|>',unknown,base,,0
238,<|reserved_238|>,'<|reserved_238|>',unknown,base,,0
239,<|reserved_239|>,'<|reserved_239|>',unknown,base,,0
240,<|reserved_240|>,'<|reserved_240|>',unknown,base,,0
241,<|reserved_241|>,'<|reserved_241|>',unknown,base,,0
242,<|reserved_242|>,'<|reserved_242|>',unknown,base,,0
243,<|reserved_243|>,'<|reserved_243|>',unknown,base,,0
244,<|reserved_244|>,'<|reserved_244|>',unknown,base,,0
245,<|reserved_245|>,'<|reserved_245|>',unknown,base,,0
246,<|reserved_246|>,'<|reserved_246|>',unknown,base,,0
247,<|reserved_247|>,'<|reserved_247|>',unknown,base,,0
248,<|reserved_248|>,'<|reserved_248|>',unknown,base,,0
249,<|reserved_249|>,'<|reserved_249|>',unknown,base,,0
250,<|reserved_250|>,'<|reserved_250|>',unknown,base,,0
251,<|reserved_251|>,'<|reserved_251|>',unknown,base,,0
252,<|reserved_252|>,'<|reserved_252|>',unknown,base,,0
253,<|reserved_253|>,'<|reserved_253|>',unknown,base,,0
254,<|reserved_254|>,'<|reserved_254|>',unknown,base,,0
255,<|reserved_255|>,'<|reserved_255|>',unknown,base,,0
256,<|reserved_256|>,'<|reserved_256|>',unknown,base,,0
257,<|reserved_257|>,'<|reserved_257|>',unknown,base,,0
258,<|reserved_258|>,'<|reserved_258|>',unknown,base,,0
259,<|reserved_259|>,'<|reserved_259|>',unknown,base,,0
260,<|reserved_260|>,'<|reserved_260|>',unknown,base,,0
261,<|reserved_261|>,'<|reserved_261|>',unknown,base,,0
262,<|reserved_262|>,'<|reserved_262|>',unknown,base,,0
263,<|reserved_263|>,'<|reserved_263|>',unknown,base,,0
264,<|reserved_264|>,'<|reserved_264|>',unknown,base,,0
265,<|reserved_265|>,'<|reserved_265|>',unknown,base,,0
266,<|reserved_266|>,'<|reserved_266|>',unknown,base,,0
267,<|reserved_267|>,'<|reserved_267|>',unknown,base,,0
268,<|reserved_268|>,'<|reserved_268|>',unknown,base,,0
269,<|reserved_269|>,'<|reserved_269|>',unknown,base,,0
270,<|reserved_270|>,'<|reserved_270|>',unknown,base,,0
271,<|reserved_271|>,'<|reserved_271|>',unknown,base,,0
272,<|reserved_272|>,'<|reserved_272|>',unknown,base,,0
273,<|reserved_273|>,'<|reserved_273|>',unknown,base,,0
274,<|reserved_274|>,'<|reserved_274|>',unknown,base,,0
275,<|reserved_275|>,'<|reserved_275|>',unknown,base,,0
276,<|reserved_276|>,'<|reserved_276|>',unknown,base,,0
277,<|reserved_277|>,'<|reserved_277|>',unknown,base,,0
278,<|reserved_278|>,'<|reserved_278|>',unknown,base,,0
279,<|reserved_279|>,'<|reserved_279|>',unknown,base,,0
280,<|reserved_280|>,'<|reserved_280|>',unknown,base,,0
281,<|reserved_281|>,'<|reserved_281|>',unknown,base,,0
282,<|reserved_282|>,'<|reserved_282|>',unknown,base,,0
283,<|reserved_283|>,'<|reserved_283|>',unknown,base,,0
284,<|reserved_284|>,'<|reserved_284|>',unknown,base,,0
285,<|reserved_285|>,'<|reserved_285|>',unknown,base,,0
286,<|reserved_286|>,'<|reserved_286|>',unknown,base,,0
287,<|reserved_287|>,'<|reserved_287|>',unknown,base,,0
288,<|reserved_288|>,'<|reserved_288|>',unknown,base,,0
289,<|reserved_289|>,'<|reserved_289|>',unknown,base,,0
290,<|reserved_290|>,'<|reserved_290|>',unknown,base,,0
291,<|reserved_291|>,'<|reserved_291|>',unknown,base,,0
292,<|reserved_292|>,'<|reserved_292|>',unknown,base,,0
293,<|reserved_293|>,'<|reserved_293|>',unknown,base,,0
294,<|reserved_294|>,'<|reserved_294|>',unknown,base,,0
295,<|reserved_295|>,'<|reserved_295|>',unknown,base,,0
296,<|reserved_296|>,'<|reserved_296|>',unknown,base,,0
297,<|reserved_297|>,'<|reserved_297|>',unknown,base,,0
298,<|reserved_298|>,'<|reserved_298|>',unknown,base,,0
299,<|reserved_299|>,'<|reserved_299|>',unknown,base,,0
300,<|reserved_300|>,'<|reserved_300|>',unknown,base,,0
301,<|reserved_301|>,'<|reserved_301|>',unknown,base,,0
302,<|reserved_302|>,'<|reserved_302|>',unknown,base,,0
303,<|reserved_303|>,'<|reserved_303|>',unknown,base,,0
304,<|reserved_304|>,'<|reserved_304|>',unknown,base,,0
305,<|reserved_305|>,'<|reserved_305|>',unknown,base,,0
306,<|reserved_306|>,'<|reserved_306|>',unknown,base,,0
307,<|reserved_307|>,'<|reserved_307|>',unknown,base,,0
308,<|reserved_308|>,'<|reserved_308|>',unknown,base,,0
309,<|reserved_309|>,'<|reserved_309|>',unknown,base,,0
310,<|reserved_310|>,'<|reserved_310|>',unknown,base,,0
311,<|reserved_311|>,'<|reserved_311|>',unknown,base,,0
312,<|reserved_312|>,'<|reserved_312|>',unknown,base,,0
313,<|reserved_313|>,'<|reserved_313|>',unknown,base,,0
314,<|reserved_314|>,'<|reserved_314|>',unknown,base,,0
315,<|reserved_315|>,'<|reserved_315|>',unknown,base,,0
316,<|reserved_316|>,'<|reserved_316|>',unknown,base,,0
317,<|reserved_317|>,'<|reserved_317|>',unknown,base,,0
318,<|reserved_318|>,'<|reserved_318|>',unknown,base,,0
319,<|reserved_319|>,'<|reserved_319|>',unknown,base,,0
320,<|reserved_320|>,'<|reserved_320|>',unknown,base,,0
321,<|reserved_321|>,'<|reserved_321|>',unknown,base,,0
322,<|reserved_322|>,'<|reserved_322|>',unknown,base,,0
323,<|reserved_323|>,'<|reserved_323|>',unknown,base,,0
324,<|reserved_324|>,'<|reserved_324|>',unknown,base,,0
325,<|reserved_325|>,'<|reserved_325|>',unknown,base,,0
326,<|reserved_326|>,'<|reserved_326|>',unknown,base,,0
327,<|reserved_327|>,'<|reserved_327|>',unknown,base,,0
328,<|reserved_328|>,'<|reserved_328|>',unknown,base,,0
329,<|reserved_329|>,'<|reserved_329|>',unknown,base,,0
330,<|reserved_330|>,'<|reserved_330|>',unknown,base,,0
331,<|reserved_331|>,'<|reserved_331|>',unknown,base,,0
332,<|reserved_332|>,'<|reserved_332|>',unknown,base,,0
333,<|reserved_333|>,'<|reserved_333|>',unknown,base,,0
334,<|reserved_334|>,'<|reserved_334|>',unknown,base,,0
335,<|reserved_335|>,'<|reserved_335|>',unknown,base,,0
336,<|reserved_336|>,'<|reserved_336|>',unknown,base,,0
337,<|reserved_337|>,'<|reserved_337|>',unknown,base,,0
338,<|reserved_338|>,'<|reserved_338|>',unknown,base,,0
339,<|reserved_339|>,'<|reserved_339|>',unknown,base,,0
340,<|reserved_340|>,'<|reserved_340|>',unknown,base,,0
341,<|reserved_341|>,'<|reserved_341|>',unknown,base,,0
342,<|reserved_342|>,'<|reserved_342|>',unknown,base,,0
343,<|reserved_343|>,'<|reserved_343|>',unknown,base,,0
344,<|reserved_344|>,'<|reserved_344|>',unknown,base,,0
345,<|reserved_345|>,'<|reserved_345|>',unknown,base,,0
346,<|reserved_346|>,'<|reserved_346|>',unknown,base,,0
347,<|reserved_347|>,'<|reserved_347|>',unknown,base,,0
348,<|reserved_348|>,'<|reserved_348|>',unknown,base,,0
349,<|reserved_349|>,'<|reserved_349|>',unknown,base,,0
350,<|reserved_350|>,'<|reserved_350|>',unknown,base,,0
351,<|reserved_351|>,'<|reserved_351|>',unknown,base,,0
352,<|reserved_352|>,'<|reserved_352|>',unknown,base,,0
353,<|reserved_353|>,'<|reserved_353|>',unknown,base,,0
354,<|reserved_354|>,'<|reserved_354|>',unknown,base,,0
355,<|reserved_355|>,'<|reserved_355|>',unknown,base,,0
356,<|reserved_356|>,'<|reserved_356|>',unknown,base,,0
357,<|reserved_357|>,'<|reserved_357|>',unknown,base,,0
358,<|reserved_358|>,'<|reserved_358|>',unknown,base,,0
359,<|reserved_359|>,'<|reserved_359|>',unknown,base,,0
360,<|reserved_360|>,'<|reserved_360|>',unknown,base,,0
361,<|reserved_361|>,'<|reserved_361|>',unknown,base,,0
362,<|reserved_362|>,'<|reserved_362|>',unknown,base,,0
363,<|reserved_363|>,'<|reserved_363|>',unknown,base,,0
364,<|reserved_364|>,'<|reserved_364|>',unknown,base,,0
365,<|reserved_365|>,'<|reserved_365|>',unknown,base,,0
366,<|reserved_366|>,'<|reserved_366|>',unknown,base,,0
367,<|reserved_367|>,'<|reserved_367|>',unknown,base,,0
368,<|reserved_368|>,'<|reserved_368|>',unknown,base,,0
369,<|reserved_369|>,'<|reserved_369|>',unknown,base,,0
370,<|reserved_370|>,'<|reserved_370|>',unknown,base,,0
371,<|reserved_371|>,'<|reserved_371|>',unknown,base,,0
372,<|reserved_372|>,'<|reserved_372|>',unknown,base,,0
373,<|reserved_373|>,'<|reserved_373|>',unknown,base,,0
374,<|reserved_374|>,'<|reserved_374|>',unknown,base,,0
375,<|reserved_375|>,'<|reserved_375|>',unknown,base,,0
376,<|reserved_376|>,'<|reserved_376|>',unknown,base,,0
377,<|reserved_377|>,'<|reserved_377|>',unknown,base,,0
378,<|reserved_378|>,'<|reserved_378|>',unknown,base,,0
379,<|reserved_379|>,'<|reserved_379|>',unknown,base,,0
380,<|reserved_380|>,'<|reserved_380|>',unknown,base,,0
381,<|reserved_381|>,'<|reserved_381|>',unknown,base,,0
382,<|reserved_382|>,'<|reserved_382|>',unknown,base,,0
383,<|reserved_383|>,'<|reserved_383|>',unknown,base,,0
384,<|reserved_384|>,'<|reserved_384|>',unknown,base,,0
385,<|reserved_385|>,'<|reserved_385|>',unknown,base,,0
386,<|reserved_386|>,'<|reserved_386|>',unknown,base,,0
387,<|reserved_387|>,'<|reserved_387|>',unknown,base,,0
388,<|reserved_388|>,'<|reserved_388|>',unknown,base,,0
389,<|reserved_389|>,'<|reserved_389|>',unknown,base,,0
390,<|reserved_390|>,'<|reserved_390|>',unknown,base,,0
391,<|reserved_391|>,'<|reserved_391|>',unknown,base,,0
392,<|reserved_392|>,'<|reserved_392|>',unknown,base,,0
393,<|reserved_393|>,'<|reserved_393|>',unknown,base,,0
394,<|reserved_394|>,'<|reserved_394|>',unknown,base,,0
395,<|reserved_395|>,'<|reserved_395|>',unknown,base,,0
396,<|reserved_396|>,'<|reserved_396|>',unknown,base,,0
397,<|reserved_397|>,'<|reserved_397|>',unknown,base,,0
398,<|reserved_398|>,'<|reserved_398|>',unknown,base,,0
399,<|reserved_399|>,'<|reserved_399|>',unknown,base,,0
400,<|reserved_400|>,'<|reserved_400|>',unknown,base,,0
401,<|reserved_401|>,'<|reserved_401|>',unknown,base,,0
402,<|reserved_402|>,'<|reserved_402|>',unknown,base,,0
403,<|reserved_403|>,'<|reserved_403|>',unknown,base,,0
404,<|reserved_404|>,'<|reserved_404|>',unknown,base,,0
405,<|reserved_405|>,'<|reserved_405|>',unknown,base,,0
406,<|reserved_406|>,'<|reserved_406|>',unknown,base,,0
407,<|reserved_407|>,'<|reserved_407|>',unknown,base,,0
408,<|reserved_408|>,'<|reserved_408|>',unknown,base,,0
409,<|reserved_409|>,'<|reserved_409|>',unknown,base,,0
410,<|reserved_410|>,'<|reserved_410|>',unknown,base,,0
411,<|reserved_411|>,'<|reserved_411|>',unknown,base,,0
412,<|reserved_412|>,'<|reserved_412|>',unknown,base,,0
413,<|reserved_413|>,'<|reserved_413|>',unknown,base,,0
414,<|reserved_414|>,'<|reserved_414|>',unknown,base,,0
415,<|reserved_415|>,'<|reserved_415|>',unknown,base,,0
416,<|reserved_416|>,'<|reserved_416|>',unknown,base,,0
417,<|reserved_417|>,'<|reserved_417|>',unknown,base,,0
418,<|reserved_418|>,'<|reserved_418|>',unknown,base,,0
419,<|reserved_419|>,'<|reserved_419|>',unknown,base,,0
420,<|reserved_420|>,'<|reserved_420|>',unknown,base,,0
421,<|reserved_421|>,'<|reserved_421|>',unknown,base,,0
422,<|reserved_422|>,'<|reserved_422|>',unknown,base,,0
423,<|reserved_423|>,'<|reserved_423|>',unknown,base,,0
424,<|reserved_424|>,'<|reserved_424|>',unknown,base,,0
425,<|reserved_425|>,'<|reserved_425|>',unknown,base,,0
426,<|reserved_426|>,'<|reserved_426|>',unknown,base,,0
427,<|reserved_427|>,'<|reserved_427|>',unknown,base,,0
428,<|reserved_428|>,'<|reserved_428|>',unknown,base,,0
429,<|reserved_429|>,'<|reserved_429|>',unknown,base,,0
430,<|reserved_430|>,'<|reserved_430|>',unknown,base,,0
431,<|reserved_431|>,'<|reserved_431|>',unknown,base,,0
432,<|reserved_432|>,'<|reserved_432|>',unknown,base,,0
433,<|reserved_433|>,'<|reserved_433|>',unknown,base,,0
434,<|reserved_434|>,'<|reserved_434|>',unknown,base,,0
435,<|reserved_435|>,'<|reserved_435|>',unknown,base,,0
436,<|reserved_436|>,'<|reserved_436|>',unknown,base,,0
437,<|reserved_437|>,'<|reserved_437|>',unknown,base,,0
